Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: A Sequest HT,Score Sequest HT: B Sequest HT,Score Sequest HT: C Sequest HT,Score Sequest HT: D Sequest HT,Score Sequest HT: E Sequest HT,Score Sequest HT: F Sequest HT,Score Sequest HT: G Sequest HT,Score Sequest HT: H Sequest HT,Score Sequest HT: I Sequest HT,Score Sequest HT: J Sequest HT,Score Sequest HT: K Sequest HT,Score Sequest HT: L Sequest HT,# PSMs (by Search Engine): A Sequest HT,# PSMs (by Search Engine): B Sequest HT,# PSMs (by Search Engine): C Sequest HT,# PSMs (by Search Engine): D Sequest HT,# PSMs (by Search Engine): E Sequest HT,# PSMs (by Search Engine): F Sequest HT,# PSMs (by Search Engine): G Sequest HT,# PSMs (by Search Engine): H Sequest HT,# PSMs (by Search Engine): I Sequest HT,# PSMs (by Search Engine): J Sequest HT,# PSMs (by Search Engine): K Sequest HT,# PSMs (by Search Engine): L Sequest HT,# Peptides (by Search Engine): A Sequest HT,# Peptides (by Search Engine): B Sequest HT,# Peptides (by Search Engine): C Sequest HT,# Peptides (by Search Engine): D Sequest HT,# Peptides (by Search Engine): E Sequest HT,# Peptides (by Search Engine): F Sequest HT,# Peptides (by Search Engine): G Sequest HT,# Peptides (by Search Engine): H Sequest HT,# Peptides (by Search Engine): I Sequest HT,# Peptides (by Search Engine): J Sequest HT,# Peptides (by Search Engine): K Sequest HT,# Peptides (by Search Engine): L Sequest HT,# Protein Pathway Groups,# Razor Peptides,Abundances (Normalized): F1: Sample,Abundances (Normalized): F2: Sample,Abundances (Normalized): F3: Sample,Abundances (Normalized): F4: Sample,Abundances (Normalized): F5: Sample,Abundances (Normalized): F6: Sample,Abundances (Normalized): F7: Sample,Abundances (Normalized): F8: Sample,Abundances (Normalized): F9: Sample,Abundances (Normalized): F10: Sample,Abundances (Normalized): F11: Sample,Abundances (Normalized): F12: Sample,Abundance: F1: Sample,Abundance: F2: Sample,Abundance: F3: Sample,Abundance: F4: Sample,Abundance: F5: Sample,Abundance: F6: Sample,Abundance: F7: Sample,Abundance: F8: Sample,Abundance: F9: Sample,Abundance: F10: Sample,Abundance: F11: Sample,Abundance: F12: Sample,Abundances Count: F1: Sample,Abundances Count: F2: Sample,Abundances Count: F3: Sample,Abundances Count: F4: Sample,Abundances Count: F5: Sample,Abundances Count: F6: Sample,Abundances Count: F7: Sample,Abundances Count: F8: Sample,Abundances Count: F9: Sample,Abundances Count: F10: Sample,Abundances Count: F11: Sample,Abundances Count: F12: Sample,Found in Sample: [S1] F1: Sample,Found in Sample: [S2] F2: Sample,Found in Sample: [S3] F3: Sample,Found in Sample: [S4] F4: Sample,Found in Sample: [S5] F5: Sample,Found in Sample: [S6] F6: Sample,Found in Sample: [S7] F7: Sample,Found in Sample: [S8] F8: Sample,Found in Sample: [S9] F9: Sample,Found in Sample: [S10] F10: Sample,Found in Sample: [S11] F11: Sample,Found in Sample: [S12] F12: Sample,# Protein Groups,Modifications,,,,,,,,,,,,
FALSE,High,Master Protein,P02751,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,0,1775.596,53,79,3381,79,2477,272.2,5.5,1045.69,619.76,1902.19,4221.31,941.95,854.49,672.15,677.66,883.81,2122.23,584.71,676.24,232,135,396,982,207,219,145,152,187,456,123,147,58,52,65,78,61,59,56,52,53,69,51,55,0,0,7394090980,4923272610,16080115793,33856268070,4585752839,9054952273,4703245736,5614313820,7999389203,16075809851,4682673006,4505718776,3390169434,2416602584,11293441049,25078743481,4585752839,3453677146,3320289787,3610747244,3927819422,11485678015,3051847402,2858473219,120,108,141,145,121,123,113,106,112,134,106,97,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P07996,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2,0,775.736,59,50,1509,46,1170,129.3,4.94,407.61,372.22,340.92,256.2,324.55,265.58,846.58,596.01,820.38,773.25,501.42,736.63,93,86,78,63,79,74,219,142,191,182,125,177,36,34,33,33,37,35,47,43,45,46,38,46,0,5,2009951823,2379030964,1711946127,1028898380,1049318103,1648106087,6724505480,3828828290,7413597765,6856255762,3741137530,5469314556,921557126,1167754222,1202339766,762147750.5,1049318103,628609202.6,4747212484,2462443611,3640187088,4898586559,2438218692,3469788054,67,70,66,64,65,59,79,74,79,78,71,73,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4,0,731.116,38,91,384,91,4391,468.5,6.51,77.84,34.53,198.68,623.36,84.58,43.7,40.36,37.41,80.49,258.77,45.58,44.55,19,11,51,142,22,12,11,11,20,61,12,12,18,9,43,83,21,11,11,11,20,49,11,12,0,0,360321321.4,305152107.2,659487091.6,1385163413,211725463.4,305209531.5,364160398,355436872,493537561.2,689772674.3,188531922,340306077,165206288.9,149784793.4,463173194,1026048052,211725463.4,116410904.4,257081623.7,228592976.3,242334304.4,492821631.6,122872268.8,215893591.1,40,31,67,91,50,38,41,33,46,68,32,36,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P12111,Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,0,649.177,41,88,928,88,3177,343.5,6.68,78.15,114.48,506.01,653.95,111.23,37.51,358.15,182.37,460.76,540.38,142.61,321.66,23,32,130,180,30,16,93,47,116,139,39,83,20,27,65,64,26,14,57,36,59,70,35,58,0,0,513010571.5,737656471.2,2204991466,1916513678,467114716,1279662998,2312928667,1348237762,3328064591,3329784057,1210965962,1677740499,235213870.6,362080810,1548617028,1419641256,467114716,488080192.7,1632828447,867095416.8,1634129358,2379029604,789225154.6,1064375414,66,71,90,96,68,63,89,81,82,91,74,83,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,A0A087WTA8,Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=1,0,615.902,60,42,741,42,1364,129.1,9.01,278.35,202.83,370.11,466.56,358.95,275.95,200.38,186.05,317.15,269.72,210.86,183.91,58,42,84,111,79,63,44,45,68,58,47,42,33,29,32,30,36,33,25,27,29,28,25,22,0,0,1230255176,902612458.8,1446955987,1227227554,803177026.6,1110133508,1007239532,1044561792,1599460572,1375641136,923070546.1,998767522.8,564068457.5,443049933,1016230999,909058403.8,803177026.6,423419429.6,711067913.3,671791554.8,785358999.3,982853821.7,601594526.2,633628141.9,54,51,59,54,56,57,51,48,52,48,47,46,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",0,608.622,89,37,2988,36,623,62,5.24,1659.32,953.97,738.82,2662.84,3176.7,1150.5,423.76,342.92,560.61,334.06,870.2,467.78,375,234,163,578,680,302,91,76,120,77,191,101,27,24,27,28,32,25,22,20,22,22,30,21,0,1,12290013993,6844629840,5610823688,18565408115,19546039737,10500260938,3612819995,3480371553,5174047298,3330616468,6897502859,4537825582,5634936045,3359706331,3940612578,13752168631,19546039737,4004936762,2550495978,2238339785,2540534403,2379624336,4495322684,2878842099,57,57,61,64,67,59,56,54,54,60,67,60,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P02452,Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=6,0,577.481,59,49,600,47,1464,138.8,5.8,231.56,146.15,312.58,336.2,300.99,269.91,116.4,151.68,176.84,188.89,117.85,115.02,54,35,73,82,70,67,31,38,42,48,31,29,31,24,39,38,41,33,23,23,24,30,19,25,0,2,959940247.5,776572137.8,2342293760,1944441483,1045274875,1586230853,1086239321,1067441081,1804685980,1366783282,890084877.3,1089903082,440129840.8,381182677.3,1645047638,1440328540,1045274875,605009179.5,766838376.6,686505967.8,886127735.9,976525154.1,580096713.4,691445455.2,49,36,55,57,59,54,42,37,34,45,35,36,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,0,509.206,41,65,423,61,2647,280.6,6.06,88.77,101.04,254.59,247.45,137.5,111.89,103.15,119.14,144,192.05,110.37,177.12,20,24,57,60,33,27,26,28,34,46,26,42,18,21,46,45,30,23,23,24,31,38,22,35,0,5,227803670.6,522791331.8,587750461,486568160.8,188093945.3,355111352.8,332762531.4,557025288.2,623742179.6,646125553,251046260.3,420888167.4,104447327.3,256613635.6,412790882.1,360421239.2,188093945.3,135444111.3,234916076.4,358241022.6,306266714.3,461637088.7,163614857.7,267015678.2,52,59,65,63,61,59,62,58,59,63,55,62,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,0,449.211,39,60,418,50,1960,226.4,5.6,61.83,74.87,216.2,213.42,102.77,54.44,130.75,142.1,159.27,233.74,98.91,189.25,15,18,51,55,25,16,33,37,39,58,24,47,14,16,41,40,21,16,31,34,32,47,23,37,0,11,208722484.7,216817536.1,589470469.3,375080023.4,122097811,205707764.5,404789626.1,357210702.2,505453009.6,576758466.3,228638531.7,439603959.1,95698658.52,106425514,413998884.1,277837346.8,122097811,78459630,285764116.3,229733784,248184967.4,412076411.6,149011026,278889164.3,41,45,58,58,48,44,60,54,48,62,53,56,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
FALSE,High,Master Protein,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,0,442.285,33,72,250,72,2871,331.6,6.81,48.84,30.93,33.99,141.12,455.28,40.39,11.93,13.12,7.08,7.1,95.1,20.58,14,9,9,39,125,13,3,4,2,2,25,5,12,9,9,30,71,13,3,4,2,2,21,5,0,0,1011430275,1185456717,935486064.2,820238033.1,1358674530,1285306403,1528933887,1868865990,1772817750,1087742583,1387806207,1970931909,463737870,581884854.2,657013721.5,607584367.6,1358674530,490232661.2,1079361755,1201928310,870479959.9,777159047.6,904477584.5,1250378987,38,33,32,57,74,43,38,30,30,32,51,41,High,High,High,High,High,High,High,High,High,High,High,High,1,,,,,,,,,,,,,
